,0,1,2,3,4,5,6,7,8,9
0,1670,81,16,16,7,7,3,3,4,9
1,39,790,6,6,3,2,1,0,2,3
2,4,2,258,1,0,0,2,0,0,3
3,1,2,0,128,1,1,0,0,0,0
4,1,2,0,3,91,1,0,0,0,0
5,0,1,0,2,0,79,1,0,0,0
6,1,1,0,0,0,1,54,0,0,0
7,0,0,0,0,0,0,0,44,0,2
8,0,0,0,0,0,1,0,1,35,0
9,3,0,1,0,1,0,0,2,1,153
